"","sigla","Estado","UF","region","Fecundidade","norm.Lambda.per","norm.Eta.per","norm.Tau.per","Maternidade","index"
"1","RO",11,"Rondônia","Norte",0.597,0.403,0.03,0.97,-0.403,1
"2","AC",12,"Acre","Norte",0.918,0.082,0.045,0.955,-0.082,2
"3","AM",13,"Amazonas","Norte",0.697,0.303,0.012,0.988,-0.303,3
"4","RR",14,"Roraima","Norte",0.155,0.845,0.024,0.976,-0.845,4
"5","PA",15,"Pará","Norte",0.538,0.462,0.022,0.978,-0.462,5
"6","AP",16,"Amapá","Norte",1,0,0.028,0.972,0,6
"7","TO",17,"Tocantins","Norte",0.72,0.28,0.028,0.972,-0.28,7
"8","MA",21,"Maranhão","Nordeste",0.451,0.549,0.02,0.98,-0.549,8
"9","PI",22,"Piauí","Nordeste",0.085,0.915,0.046,0.954,-0.915,9
"10","CE",23,"Ceará","Nordeste",0.133,0.867,0.037,0.963,-0.867,10
"11","RN",24,"Rio Grande do Norte","Nordeste",0.558,0.442,0.015,0.985,-0.442,11
"12","PB",25,"Paraíba","Nordeste",0.13,0.87,0.049,0.951,-0.87,12
"13","PE",26,"Pernambuco","Nordeste",0.429,0.571,0,1,-0.571,13
"14","AL",27,"Alagoas","Nordeste",0.208,0.792,0.041,0.959,-0.792,14
"15","SE",28,"Sergipe","Nordeste",0.581,0.419,0.01,0.99,-0.419,15
"16","BA",29,"Bahia","Nordeste",0,1,0.041,0.959,-1,16
"17","MG",31,"Minas Gerais","Sudeste",0.196,0.804,0.413,0.587,-0.804,17
"18","ES",32,"Espírito Santo","Sudeste",0.466,0.534,0.032,0.968,-0.534,18
"19","RJ",33,"Rio de Janeiro","Sudeste",0.508,0.492,0.004,0.996,-0.492,19
"20","SP",35,"São Paulo","Sudeste",0.468,0.532,0.117,0.883,-0.532,20
"21","PR",41,"Paraná","Sul",0.216,0.784,0.019,0.981,-0.784,21
"22","SC",42,"Santa Catarina","Sul",0.315,0.685,0.024,0.976,-0.685,22
"23","RS",43,"Rio Grande do Sul","Sul",0.237,0.763,0.024,0.976,-0.763,23
"24","MS",50,"Mato Grosso do Sul","Centro-Oeste",0.532,0.468,0.039,0.961,-0.468,24
"25","MT",51,"Mato Grosso","Centro-Oeste",0.3,0.7,0.116,0.884,-0.7,25
"26","GO",52,"Goiás","Centro-Oeste",0.543,0.457,0.046,0.954,-0.457,26
"27","DF",53,"Distrito Federal","Centro-Oeste",0.52,0.48,1,0,-0.48,27
"28","BR",99,"Brasil","Brasil",0.348,0.652,0.013,0.987,-0.652,28
