UF;Ano;10;15;20;25;30;35;40;45;50
Rondônia;2010;215;5349;7947;6500;3395;1194;257;21;1
Acre;2010;175;3152;3718;3095;1992;824;262;31;10
Amazonas;2010;660;13336;18884;15283;8864;3758;875;74;4
Roraima;2010;85;1781;2594;2100;1287;506;136;8;1
Pará;2010;1380;28637;39564;27396;14096;5613;1607;163;18
Amapá;2010;159;3058;4148;3301;1964;929;250;21;6
Tocantins;2010;301;5331;7220;5569;3140;1190;303;10;0
Maranhão;2010;1101;24568;36660;24702;12055;4640;1233;153;40
Piauí;2010;440;9160;14582;11075;6219;2563;634;70;1
Ceará;2010;1150;22634;35884;30026;20681;9696;2880;262;29
Rio Grande do Norte;2010;476;8294;14632;11587;7186;3298;877;89;5
Paraíba;2010;596;10540;16452;14024;9143;4092;1113;83;35
Pernambuco;2010;1251;26171;39641;33065;20655;9358;2364;193;24
Alagoas;2010;682;11748;16327;12389;7320;3328;941;89;10
Sergipe;2010;342;6101;8947;8144;5450;2612;768;63;7
Bahia;2010;2196;41224;58803;52613;34177;15164;4125;345;19
Minas Gerais;2010;1554;41186;67726;66100;49529;23745;6157;402;27
Espírito Santo;2010;373;8550;14298;13859;9535;4188;961;60;4
Rio de Janeiro;2010;1423;33395;51512;51421;38934;19354;4809;293;20
São Paulo;2010;3193;85422;151793;158982;124137;61858;15246;834;21
Paraná;2010;1210;27235;38976;37876;28196;13442;3242;193;11
Santa Catarina;2010;499;13215;21535;22311;16578;7918;1997;117;2
Rio Grande do Sul;2010;887;20381;31445;33186;26700;14409;3921;253;12
Mato Grosso do Sul;2010;446;7938;11176;9860;6213;2628;618;47;5
Mato Grosso;2010;416;9589;14446;12226;7330;2788;570;36;1
Goiás;2010;765;16038;25724;23373;14756;5738;1238;83;5
Distrito Federal;2010;201;5558;10292;11732;9788;4796;1176;64;2
Brasil;2010;22178;489591;764928;701795;489320;229626;58560;4056;322
Rondônia;2019;192;4311;7310;7005;4990;2567;551;20;6
Acre;2019;192;3399;4205;3388;2560;1524;430;41;9
Amazonas;2019;790;14677;20751;15841;11511;6765;1733;148;33
Roraima;2019;85;2419;3873;3042;2056;1184;334;10;3
Pará;2019;1250;25757;38161;30279;20119;10177;2352;159;23
Amapá;2019;147;2741;4055;3256;2482;1384;385;20;2
Tocantins;2019;198;4205;6537;5803;4489;2304;534;29;4
Maranhão;2019;1121;22675;31650;24932;17692;8575;1879;121;21
Piauí;2019;369;7932;12156;10853;9319;4719;1105;71;5
Ceará;2019;864;17778;31856;30365;26874;14714;3840;222;58
Rio Grande do Norte;2019;369;6631;10937;10640;9848;5674;1365;77;8
Paraíba;2019;482;8711;13810;13442;11913;6612;1607;97;17
Pernambuco;2019;854;20588;34058;31227;25940;14339;3686;225;25
Alagoas;2019;551;9833;14026;10731;8465;4599;1095;76;1
Sergipe;2019;291;5144;7889;7331;6365;3932;1023;67;7
Bahia;2019;1719;31572;47270;44681;40412;24749;6420;401;21
Minas Gerais;2019;1136;30118;57987;61759;58747;37281;9236;483;38
Espírito Santo;2019;264;6905;12372;12882;12525;7656;1836;93;5
Rio de Janeiro;2019;1165;26579;50139;47981;42202;27894;7584;417;33
São Paulo;2019;1872;58413;130528;138458;137095;90477;23329;1320;71
Paraná;2019;712;18151;36385;38925;34198;20297;4839;252;23
Santa Catarina;2019;301;9793;22483;25091;23106;14206;3183;153;11
Rio Grande do Sul;2019;503;14351;29866;31843;30858;21177;5308;314;27
Mato Grosso do Sul;2019;326;6591;11129;10741;8554;4952;1165;61;5
Mato Grosso;2019;377;8425;15278;14750;11558;6066;1454;80;10
Goiás;2019;484;12626;24781;24402;20024;10972;2662;151;14
Distrito Federal;2019;148;4188;8627;9481;10111;7522;2085;124;13
Brasil;2019;16762;384512;688119;669129;594014;362318;91023;5236;495
