UF;10;15;20;25;30;35;40;45;50;
Rondônia;215;5349;7947;6500;3395;1194;257;21;1;
Acre;175;3152;3718;3095;1992;824;262;31;10;
Amazonas;660;13336;18884;15283;8864;3758;875;74;4;
Roraima;85;1781;2594;2100;1287;506;136;8;1;
Pará;1380;28637;39564;27396;14096;5613;1607;163;18;
Amapá;159;3058;4148;3301;1964;929;250;21;6;
Tocantins;301;5331;7220;5569;3140;1190;303;10;0;
Maranhão;1101;24568;36660;24702;12055;4640;1233;153;40;
Piauí;440;9160;14582;11075;6219;2563;634;70;1;
Ceará;1150;22634;35884;30026;20681;9696;2880;262;29;
Rio Grande do Norte;476;8294;14632;11587;7186;3298;877;89;5;
Paraíba;596;10540;16452;14024;9143;4092;1113;83;35;
Pernambuco;1251;26171;39641;33065;20655;9358;2364;193;24;
Alagoas;682;11748;16327;12389;7320;3328;941;89;10;
Sergipe;342;6101;8947;8144;5450;2612;768;63;7;
Bahia;2196;41224;58803;52613;34177;15164;4125;345;19;
Minas Gerais;1554;41186;67726;66100;49529;23745;6157;402;27;
Espírito Santo;373;8550;14298;13859;9535;4188;961;60;4;
Rio de Janeiro;1423;33395;51512;51421;38934;19354;4809;293;20;
São Paulo;3193;85422;151793;158982;124137;61858;15246;834;21;
Paraná;1210;27235;38976;37876;28196;13442;3242;193;11;
Santa Catarina;499;13215;21535;22311;16578;7918;1997;117;2;
Rio Grande do Sul;887;20381;31445;33186;26700;14409;3921;253;12;
Mato Grosso do Sul;446;7938;11176;9860;6213;2628;618;47;5;
Mato Grosso;416;9589;14446;12226;7330;2788;570;36;1;
Goiás;765;16038;25724;23373;14756;5738;1238;83;5;
Distrito Federal;201;5558;10292;11732;9788;4796;1176;64;2;
Brasil;22178;489591;764928;701795;489320;229626;58560;4056;322;
