Estados;RMM.2009;RMM.2010;RMM.2011;RMM.2012;RMM.2013;RMM.2014;RMM.2015;RMM.2016;RMM.2017;RMM.2018
Brasil;72,4;68,9;61,8;59,3;62,1;63,8;62;64,4;64,5;59,1
Rondônia;97,8;83,2;58,3;64,1;94,2;87,7;57,7;56,4;87,3;47,8
Acre;41,4;48,8;33,7;53,9;58,6;46,7;58,9;69,7;48,9;54,4
Amazonas;109,9;119,5;84,6;85;81,6;120,8;78,8;84,7;75,6;108,4
Roraima;125;13,8;67,5;38;74,5;60,4;96,4;52,7;59,6;100,6
Pará;73,2;69,7;73,8;78,9;86,7;96,4;72,9;86,4;107,4;81,4
Amapá;37,6;26,8;53,3;54,1;119,7;66;110,8;141,7;45,5;88,3
Tocantins;97;76,8;112,6;53,3;61,2;60,1;85,6;92,2;96,3;31,6
Maranhão;109,7;133,7;109,8;96,1;123,8;100,9;116,5;122,2;101,8;90,6
Piauí;100,1;125;107,1;126;130,2;86,8;103,6;108,5;88,6;105,8
Ceará;66,2;70,6;68,4;69,4;74,5;65,3;49,1;63,4;65,7;68,4
Rio Grande do Norte;63,1;36,6;68,6;66;54,5;74,8;68,4;77,2;77,9;58,6
Paraíba;64,9;61,8;61,7;61,5;70,9;63;81,8;99,9;67,8;53,2
Pernambuco;62,1;61,9;57,5;56;64,3;63,4;67,6;58,1;63,3;59,2
Alagoas;34,3;74,4;66,8;56,3;71,6;104,1;59,1;51,9;37,7;49,5
Sergipe;118,6;71,1;83;70,4;67,2;66,9;51,6;55,9;56,1;58,8
Bahia;101,8;87,3;80,6;70;80,6;81;75,4;72,6;76,9;60,8
Minas Gerais;52,1;50,5;40,3;36,6;47,6;49;47;46,9;45,2;51,2
Espírito Santo;91,3;65,6;60,8;64,4;59,6;109,2;73,1;48,7;71,6;63,9
Rio de Janeiro;93,7;83,6;74,3;80,8;80,3;71,9;67,1;71,6;84,7;61,7
São Paulo;56,6;47,6;42;36,8;39,3;44,2;50,8;54,4;60,6;50
Paraná;71,7;65,4;52,7;38,4;41,7;41,3;51,7;50,3;31,7;38,4
Santa Catarina;32,2;38,1;30,7;45,4;31,4;30,2;30,9;31,5;40,7;35,1
Rio Grande do Sul;67,3;75,6;60,5;78,3;34,2;49,7;43,4;46;44,5;40,3
Mato Grosso do Sul;126,7;113,8;92,4;73,1;66,7;79,3;88,2;80,1;60,3;84,9
Mato Grosso;85,9;76,9;83,9;58,5;71,6;63,7;82,9;78,5;61,1;58
Goiás;50,7;69,1;50,9;70,5;56,7;53,8;56,6;56,5;56,4;64,7
Distrito Federal;67,3;60,7;61,8;49,4;60,3;51;43,7;64,6;49,4;54,3
